epoch,train_nll,val_nll,seconds
0,-0.736115,-0.185345,62.3
1,-1.178476,-0.324463,124.3
2,-1.273514,-0.399478,185.4
3,-1.320060,-0.434962,247.9
4,-1.356860,-0.442080,310.6
5,-1.349211,-0.441660,373.4
6,-1.347748,-0.437318,435.5
7,-1.351205,-0.444514,498.2
8,-1.341403,-0.446336,561.2
9,-1.352160,-0.445829,624.5
10,-1.344079,-0.450144,687.7
11,-1.374269,-0.434600,750.3
12,-1.369424,-0.451835,815.3
13,-1.355884,-0.440822,879.8
14,-1.375240,-0.454725,946.2
15,-1.363515,-0.454888,1009.4
16,-1.363536,-0.454355,1075.0
17,-1.359252,-0.462094,1144.6
18,-1.373371,-0.451144,1209.5
19,-1.376617,-0.467992,1272.6
20,-1.360412,-0.456694,1340.1
21,-1.379688,-0.456454,1403.6
22,-1.382828,-0.440621,1469.1
23,-1.370560,-0.462382,1535.3
24,-1.368662,-0.448376,1601.9
25,-1.378014,-0.468075,1669.9
26,-1.388074,-0.459406,1740.6
27,-1.368219,-0.464771,1810.9
