start,end,loglik,events
20159.860,20459.860,1321.175974,1445
20459.860,20759.860,393.023711,1025
20759.860,21059.860,48.186156,708
21059.860,21359.860,920.759081,1207
21359.860,21659.860,330.822760,902
21659.860,21959.860,773.729021,1064
21959.860,22259.860,533.427308,848
22259.860,22559.860,577.430836,923
22559.860,22859.860,461.643691,900
22859.860,23159.860,459.996213,1040
23159.860,23459.860,256.875506,914
23459.860,23759.860,166.560132,746
23759.860,24059.860,37.231872,706
24059.860,24359.860,-4.596252,862
24359.860,24479.830,116.506563,370
