epoch,train_nll,val_nll,seconds
0,0.329106,0.540801,1.2
1,-0.093395,0.361706,2.3
2,-0.241527,0.284070,3.6
3,-0.328553,0.218168,4.6
4,-0.377172,0.191004,5.8
5,-0.408724,0.153298,7.0
6,-0.435507,0.133150,8.2
7,-0.462642,0.122683,9.2
8,-0.485135,0.102826,10.5
9,-0.504316,0.071407,11.6
10,-0.521668,0.070489,12.8
11,-0.537050,0.050548,13.9
12,-0.547061,0.036882,15.1
13,-0.561469,0.035818,16.3
14,-0.573268,0.041128,17.4
15,-0.580396,0.021855,18.5
16,-0.586302,0.022667,19.8
17,-0.591564,0.019957,21.0
18,-0.595622,0.022433,22.3
19,-0.600632,0.017727,24.2
20,-0.603097,0.015658,26.0
21,-0.606072,0.012102,27.8
22,-0.606753,0.006262,29.7
23,-0.608477,0.002209,31.5
24,-0.613796,0.012673,33.3
25,-0.614007,0.009871,35.2
26,-0.616353,0.002234,37.0
27,-0.619842,0.011109,38.8
28,-0.618075,0.001489,40.4
29,-0.619523,0.007158,42.3
30,-0.622872,0.017602,44.1
31,-0.624515,0.005127,45.9
32,-0.627414,0.009609,47.6
33,-0.628408,0.006105,49.5
34,-0.630508,-0.004816,51.3
35,-0.628258,0.000574,53.1
36,-0.630973,0.009353,54.8
37,-0.632580,0.001106,56.6
38,-0.633372,-0.002413,58.4
39,-0.632138,-0.000474,59.9
