start,end,loglik,events
21419.518,21719.518,98.753689,722
21719.518,22019.518,902.645039,1092
22019.518,22319.518,1019.399520,1159
22319.518,22619.518,232.878951,782
22619.518,22919.518,-317.511997,594
22919.518,23219.518,-373.057503,507
23219.518,23519.518,540.851944,984
23519.518,23819.518,249.262687,936
23819.518,24119.518,256.082102,956
24119.518,24419.518,864.784827,1201
24419.518,24719.518,155.854814,818
24719.518,25019.518,-317.992954,712
25019.518,25319.518,127.017014,838
25319.518,25619.518,179.892721,1052
25619.518,25919.518,345.894920,1005
25919.518,26009.414,-86.969402,218
