epoch,train_nll,val_nll,seconds
0,-0.214784,-0.024232,62.7
1,-0.667935,-0.155983,125.2
2,-0.790461,-0.178156,187.5
3,-0.853218,-0.248840,250.3
4,-0.881027,-0.264888,312.9
5,-0.913367,-0.245073,376.5
6,-0.938048,-0.268997,437.0
7,-0.923636,-0.275592,498.4
8,-0.931913,-0.271531,560.9
9,-0.924991,-0.269159,623.8
10,-0.920319,-0.282354,686.4
11,-0.917911,-0.285635,747.1
12,-0.941387,-0.272726,810.3
13,-0.921549,-0.282196,870.6
14,-0.933147,-0.279332,932.3
15,-0.934677,-0.279935,997.4
16,-0.936124,-0.284103,1061.9
17,-0.929744,-0.277173,1126.7
18,-0.921444,-0.285284,1192.5
19,-0.955587,-0.279572,1258.3
