epoch,train_nll,val_nll,seconds
0,0.340795,0.536884,1.2
1,-0.092786,0.361414,2.2
2,-0.239920,0.262952,3.5
3,-0.324892,0.223058,4.6
4,-0.368651,0.194300,5.7
5,-0.390810,0.162917,6.8
6,-0.411496,0.162320,8.0
7,-0.429374,0.138219,9.1
8,-0.448066,0.133274,10.3
9,-0.466422,0.115329,11.4
10,-0.488529,0.097498,12.6
11,-0.509490,0.078855,13.7
12,-0.526710,0.053684,14.9
13,-0.543136,0.052536,16.1
14,-0.556855,0.049979,17.2
15,-0.570382,0.033243,18.4
16,-0.578586,0.029221,19.6
17,-0.586070,0.025166,20.7
18,-0.591247,0.012780,22.0
19,-0.593813,0.026494,23.1
20,-0.598289,0.013523,24.3
21,-0.602436,0.016667,25.5
22,-0.605498,0.001324,26.7
23,-0.607194,0.012955,27.8
24,-0.609225,-0.004132,29.1
25,-0.611029,0.003511,30.2
26,-0.613725,-0.000994,31.4
27,-0.615860,0.000644,32.5
28,-0.617107,0.000456,33.7
29,-0.615646,-0.002439,34.9
30,-0.618713,-0.002764,36.0
31,-0.620407,0.007505,37.2
32,-0.619551,0.001360,38.4
