start,end,loglik,events
20159.860,20459.860,1326.558307,1445
20459.860,20759.860,396.506376,1025
20759.860,21059.860,58.815347,708
21059.860,21359.860,912.900617,1207
21359.860,21659.860,340.763613,902
21659.860,21959.860,776.216792,1064
21959.860,22259.860,535.889259,848
22259.860,22559.860,583.324690,923
22559.860,22859.860,461.534954,900
22859.860,23159.860,459.154633,1040
23159.860,23459.860,252.657473,914
23459.860,23759.860,173.766615,746
23759.860,24059.860,37.003052,706
24059.860,24359.860,-0.107621,862
24359.860,24479.830,119.379483,370
