epoch,train_nll,val_nll,seconds
0,-0.715009,-0.173051,60.1
1,-1.184987,-0.341367,122.5
2,-1.276207,-0.364574,183.6
3,-1.332362,-0.417096,246.4
4,-1.339100,-0.398740,307.8
5,-1.354457,-0.429071,369.0
6,-1.350771,-0.428763,430.4
7,-1.349156,-0.441460,492.0
8,-1.363664,-0.441228,553.7
9,-1.369088,-0.448971,616.1
10,-1.365531,-0.439735,678.0
11,-1.362883,-0.458356,739.8
12,-1.366924,-0.445503,802.1
13,-1.367923,-0.450915,863.3
14,-1.358015,-0.452781,925.0
15,-1.355428,-0.456059,986.1
16,-1.379741,-0.461251,1047.1
17,-1.373356,-0.463466,1108.9
18,-1.379883,-0.457382,1170.9
19,-1.370597,-0.457827,1231.7
20,-1.383760,-0.465141,1293.5
21,-1.384447,-0.471037,1355.3
22,-1.356064,-0.465171,1416.1
23,-1.379601,-0.469016,1477.4
24,-1.377245,-0.458041,1539.0
25,-1.371000,-0.460333,1601.1
26,-1.384178,-0.452084,1662.9
27,-1.382743,-0.455377,1725.6
28,-1.383050,-0.463484,1789.2
29,-1.389980,-0.467164,1851.2
