epoch,train_nll,val_nll,seconds
0,-0.673160,-0.063982,1.7
1,-1.026745,-0.207178,3.3
2,-1.120009,-0.258193,5.0
3,-1.192500,-0.333837,6.7
4,-1.238158,-0.347968,8.4
5,-1.270708,-0.355814,10.1
6,-1.283744,-0.376829,11.8
7,-1.294327,-0.386129,13.5
8,-1.292107,-0.398325,15.2
9,-1.301608,-0.406444,16.9
10,-1.305086,-0.410813,18.6
11,-1.322686,-0.406007,20.4
12,-1.300764,-0.421214,22.1
13,-1.305750,-0.412620,23.9
14,-1.331837,-0.407303,25.7
15,-1.326953,-0.424450,27.4
16,-1.326526,-0.428648,29.2
17,-1.334078,-0.415858,30.9
18,-1.331210,-0.413722,32.7
19,-1.328004,-0.427769,34.4
20,-1.329827,-0.430025,36.1
21,-1.335590,-0.429025,37.9
22,-1.330965,-0.431966,39.6
23,-1.339267,-0.405492,41.3
24,-1.336430,-0.419342,43.1
25,-1.359549,-0.428974,44.9
26,-1.343971,-0.431178,46.6
27,-1.348022,-0.430443,48.3
28,-1.338824,-0.437069,50.0
29,-1.331437,-0.434304,51.8
30,-1.340063,-0.425042,53.6
31,-1.347360,-0.430288,55.3
32,-1.339915,-0.429280,57.0
33,-1.349549,-0.439883,58.8
34,-1.328104,-0.431150,60.5
35,-1.341178,-0.439926,62.2
36,-1.333766,-0.437909,63.9
37,-1.336005,-0.435877,65.8
38,-1.373817,-0.439369,69.8
39,-1.344896,-0.439864,73.8
