start,end,loglik,events
20159.860,20219.860,-22.336062,150
20219.860,20279.860,301.698962,286
20279.860,20339.860,151.453298,239
20339.860,20399.860,245.075256,322
20399.860,20459.860,593.382223,448
20459.860,20519.860,109.064607,240
20519.860,20579.860,85.887146,219
20579.860,20639.860,6.486704,181
20639.860,20699.860,20.525783,148
20699.860,20759.860,123.839329,237
20759.860,20819.860,142.940100,160
20819.860,20879.860,45.888697,184
20879.860,20939.860,81.051957,211
20939.860,20999.860,-97.114758,93
20999.860,21059.860,-113.460614,60
21059.860,21119.860,93.322266,170
21119.860,21179.860,106.462853,200
21179.860,21239.860,347.237002,332
21239.860,21299.860,256.703943,286
21299.860,21359.860,74.470549,219
21359.860,21419.860,32.243614,190
21419.860,21479.860,65.406265,189
21479.860,21539.860,-6.065688,163
21539.860,21599.860,192.309287,228
21599.860,21659.860,37.347351,132
21659.860,21719.860,114.324667,177
21719.860,21779.860,113.800921,174
21779.860,21839.860,321.365496,314
21839.860,21899.860,69.278036,195
21899.860,21959.860,120.924226,204
21959.860,22019.860,89.520737,147
22019.860,22079.860,272.547425,245
22079.860,22139.860,204.961512,188
22139.860,22199.860,-15.190323,148
22199.860,22259.860,-38.623446,120
22259.860,22319.860,-70.604007,97
22319.860,22379.860,-107.189021,131
22379.860,22439.860,501.693926,291
22439.860,22499.860,201.188460,211
22499.860,22559.860,41.903032,193
22559.860,22619.860,130.414818,156
22619.860,22679.860,-10.807199,163
22679.860,22739.860,216.221539,233
22739.860,22799.860,1.649747,163
22799.860,22859.860,97.743671,185
22859.860,22919.860,122.091709,221
22919.860,22979.860,239.115260,278
22979.860,23039.860,-57.550074,162
23039.860,23099.860,178.960417,247
23099.860,23159.860,-53.774375,132
23159.860,23219.860,-1.712713,130
23219.860,23279.860,131.993634,274
23279.860,23339.860,1.465438,169
23339.860,23399.860,114.467253,202
23399.860,23459.860,-18.417639,139
23459.860,23519.860,-30.538782,119
23519.860,23579.860,-19.495493,125
23579.860,23639.860,74.343191,149
23639.860,23699.860,-46.305243,134
23699.860,23759.860,164.945852,219
23759.860,23819.860,-54.440685,120
23819.860,23879.860,45.705408,147
23879.860,23939.860,46.353863,146
23939.860,23999.860,37.286750,159
23999.860,24059.860,-51.603992,134
24059.860,24119.860,34.200896,176
24119.860,24179.860,58.288969,246
24179.860,24239.860,10.467959,174
24239.860,24299.860,-27.564459,173
24299.860,24359.860,-115.107415,93
24359.860,24419.860,116.746047,237
24419.860,24479.830,-20.065306,133
