epoch,train_nll,val_nll,seconds
0,-0.165898,0.061730,1.6
1,-0.578336,-0.057648,3.3
2,-0.663633,-0.118337,5.0
3,-0.737162,-0.170425,6.6
4,-0.784575,-0.206098,8.2
5,-0.832249,-0.207069,9.8
6,-0.859863,-0.228189,11.5
7,-0.856159,-0.237616,13.3
8,-0.867081,-0.234390,15.0
9,-0.866885,-0.235952,16.7
10,-0.860448,-0.243921,18.4
11,-0.857147,-0.244638,20.2
12,-0.882114,-0.234438,21.9
13,-0.860602,-0.247964,23.7
14,-0.873164,-0.250900,25.4
15,-0.879505,-0.256493,27.2
16,-0.879374,-0.252485,29.0
17,-0.872391,-0.252766,30.7
18,-0.866304,-0.251916,32.3
19,-0.899356,-0.258581,34.0
20,-0.883947,-0.254647,35.8
21,-0.883814,-0.256182,37.4
22,-0.902495,-0.256090,39.2
23,-0.890842,-0.263106,40.9
24,-0.890884,-0.265315,42.6
25,-0.883954,-0.264808,44.2
26,-0.877292,-0.262292,45.9
27,-0.908192,-0.266402,47.5
28,-0.897829,-0.264277,49.3
29,-0.889557,-0.268236,51.0
30,-0.893532,-0.258941,52.7
31,-0.906410,-0.268117,54.5
32,-0.890449,-0.263261,56.1
33,-0.907514,-0.262743,57.9
34,-0.904237,-0.268713,59.6
35,-0.894556,-0.265260,61.4
36,-0.897672,-0.270738,63.2
37,-0.904402,-0.262436,64.9
38,-0.902489,-0.270463,66.6
39,-0.898890,-0.269001,68.5
