start,end,loglik,events
21419.518,21479.518,-46.680961,96
21479.518,21539.518,-102.688304,67
21539.518,21599.518,113.779570,175
21599.518,21659.518,81.038895,180
21659.518,21719.518,67.936045,204
21719.518,21779.518,39.995945,165
21779.518,21839.518,201.653804,248
21839.518,21899.518,413.645619,300
21899.518,21959.518,19.813702,160
21959.518,22019.518,197.927200,219
22019.518,22079.518,184.965912,242
22079.518,22139.518,81.742144,193
22139.518,22199.518,-78.448239,113
22199.518,22259.518,378.581098,266
22259.518,22319.518,425.305980,345
22319.518,22379.518,69.471981,170
22379.518,22439.518,-53.343290,134
22439.518,22499.518,-1.717532,133
22499.518,22559.518,-34.256042,122
22559.518,22619.518,246.662608,223
22619.518,22679.518,-115.583717,104
22679.518,22739.518,-121.504323,112
22739.518,22799.518,40.995515,140
22799.518,22859.518,-41.593914,132
22859.518,22919.518,-81.711492,106
22919.518,22979.518,-68.822218,127
22979.518,23039.518,-74.298686,113
23039.518,23099.518,-108.528007,68
23099.518,23159.518,-73.139530,92
23159.518,23219.518,-55.088413,107
23219.518,23279.518,-13.367270,112
23279.518,23339.518,-71.854687,133
23339.518,23399.518,130.291531,192
23399.518,23459.518,33.435394,166
23459.518,23519.518,454.196345,381
23519.518,23579.518,319.800084,336
23579.518,23639.518,53.375259,170
23639.518,23699.518,-69.046410,102
23699.518,23759.518,-73.447108,156
23759.518,23819.518,0.001525,172
23819.518,23879.518,14.625718,187
23879.518,23939.518,115.666645,197
23939.518,23999.518,-98.826122,114
23999.518,24059.518,-40.004570,162
24059.518,24119.518,245.718713,296
24119.518,24179.518,459.786043,376
24179.518,24239.518,216.469108,239
24239.518,24299.518,-18.728191,152
24299.518,24359.518,172.661961,248
24359.518,24419.518,27.304365,186
24419.518,24479.518,1.672920,177
24479.518,24539.518,-78.247364,136
24539.518,24599.518,186.638712,207
24599.518,24659.518,63.063576,163
24659.518,24719.518,-41.211569,135
24719.518,24779.518,-70.877480,116
24779.518,24839.518,-83.745883,164
24839.518,24899.518,-23.836542,155
24899.518,24959.518,-31.556034,179
24959.518,25019.518,-109.944358,98
25019.518,25079.518,-97.016473,118
25079.518,25139.518,-120.349145,84
25139.518,25199.518,88.972427,156
25199.518,25259.518,1.080482,216
25259.518,25319.518,246.824024,264
25319.518,25379.518,-61.076054,191
25379.518,25439.518,12.096956,215
25439.518,25499.518,89.888675,190
25499.518,25559.518,138.079352,243
25559.518,25619.518,-13.804570,213
25619.518,25679.518,27.454712,178
25679.518,25739.518,134.759468,253
25739.518,25799.518,138.043094,204
25799.518,25859.518,-68.821099,143
25859.518,25919.518,71.022821,227
25919.518,25979.518,-46.198763,143
25979.518,26009.414,-41.541812,75
