start,end,loglik,events
5038.046,5098.046,-81.976617,142
5098.046,5158.046,-48.652184,115
5158.046,5218.046,50.081542,170
5218.046,5278.046,20.076672,125
5278.046,5338.046,-53.245055,137
5338.046,5398.046,-23.741089,123
5398.046,5458.046,88.227273,163
5458.046,5518.046,134.719793,166
5518.046,5578.046,123.667623,186
5578.046,5638.046,-24.643644,115
5638.046,5698.046,-88.350929,97
5698.046,5758.046,-48.669218,102
5758.046,5818.046,-44.120903,120
5818.046,5878.046,11.428569,132
5878.046,5938.046,-114.349132,105
5938.046,5998.046,132.053557,203
5998.046,6058.046,-73.645322,144
6058.046,6117.627,48.839930,171
