epoch,train_nll,val_nll,seconds
0,0.418853,0.482027,1.1
1,-0.072902,0.383479,2.3
2,-0.238698,0.270886,3.4
3,-0.336777,0.209275,4.7
4,-0.384647,0.175144,5.9
5,-0.422302,0.140164,7.0
6,-0.454971,0.134096,8.2
7,-0.481015,0.113245,9.4
8,-0.501784,0.090372,10.6
9,-0.519852,0.085024,11.7
10,-0.532570,0.098898,12.9
11,-0.545301,0.054795,14.1
12,-0.554889,0.059798,15.2
13,-0.564174,0.052747,16.3
14,-0.570816,0.045893,17.5
15,-0.577509,0.032548,18.6
16,-0.582603,0.037389,19.8
17,-0.588285,0.030731,21.0
18,-0.591663,0.015490,22.1
19,-0.595694,0.037612,23.2
20,-0.598166,0.024364,24.5
21,-0.601239,0.013419,25.6
22,-0.604651,0.007198,26.8
23,-0.608213,0.006564,28.0
24,-0.608416,0.011069,29.3
25,-0.608948,0.014506,30.4
26,-0.612282,0.028861,35.2
27,-0.613658,0.009381,36.5
28,-0.616744,0.007536,37.7
29,-0.617691,0.001972,38.9
30,-0.617600,0.011817,40.1
31,-0.617821,0.001907,41.3
32,-0.620586,0.012471,42.5
33,-0.623244,0.002661,43.6
34,-0.624617,0.006666,44.8
35,-0.624794,0.013188,46.1
36,-0.626828,0.009093,47.2
37,-0.626086,-0.000784,48.6
38,-0.628233,0.005928,50.4
39,-0.628234,-0.003061,52.2
