epoch,train_nll,val_nll,seconds
0,0.231390,0.401831,32.5
1,-0.241628,0.238080,75.0
2,-0.368829,0.180714,101.9
3,-0.444312,0.116805,129.0
4,-0.507614,0.081009,162.2
5,-0.544762,0.048034,203.6
6,-0.575543,0.035992,230.7
7,-0.594654,0.019609,257.4
8,-0.615074,0.014150,290.6
9,-0.625815,0.004981,332.8
10,-0.636675,0.016148,359.7
11,-0.640208,0.003831,386.7
12,-0.644025,-0.008906,419.1
13,-0.649857,-0.006022,462.0
14,-0.648412,-0.007541,490.8
15,-0.654569,-0.001561,518.3
16,-0.654457,0.006143,551.3
17,-0.658974,0.009542,595.7
18,-0.662643,-0.005873,623.4
19,-0.663744,0.009742,651.4
20,-0.663875,-0.001793,684.3
