epoch,train_nll,val_nll,seconds
0,-0.148545,0.081006,1.7
1,-0.571077,-0.033641,3.3
2,-0.670487,-0.119975,5.0
3,-0.741836,-0.160387,6.7
4,-0.779723,-0.202400,8.3
5,-0.818190,-0.214651,9.9
6,-0.829753,-0.223828,11.7
7,-0.861306,-0.241313,13.5
8,-0.868112,-0.243011,15.2
9,-0.848317,-0.239115,16.9
10,-0.879730,-0.244769,18.6
11,-0.874516,-0.240534,20.3
12,-0.869625,-0.245711,22.0
13,-0.873435,-0.250153,23.7
14,-0.863854,-0.257242,25.4
15,-0.869557,-0.257022,27.1
16,-0.876430,-0.256689,28.8
17,-0.881806,-0.262152,30.5
18,-0.894418,-0.263950,32.2
19,-0.900841,-0.263494,33.9
20,-0.897555,-0.264339,35.5
21,-0.887687,-0.263263,37.1
22,-0.885219,-0.266523,38.8
23,-0.883668,-0.260177,40.5
24,-0.896427,-0.255241,42.1
25,-0.905382,-0.253823,43.8
26,-0.884135,-0.271465,45.5
27,-0.894777,-0.260170,47.2
28,-0.902496,-0.267575,48.9
29,-0.897547,-0.262116,50.6
30,-0.899732,-0.266633,52.2
31,-0.903780,-0.267980,53.9
32,-0.901757,-0.270337,55.6
33,-0.925678,-0.270438,57.2
34,-0.885447,-0.273211,58.9
35,-0.896182,-0.262145,60.7
36,-0.895445,-0.261958,62.4
37,-0.906543,-0.263843,64.1
38,-0.902361,-0.267812,65.8
39,-0.914258,-0.265511,67.5
