epoch,train_nll,val_nll,seconds
0,-0.132169,0.061470,1.6
1,-0.576520,-0.049218,3.3
2,-0.696410,-0.124630,4.9
3,-0.733755,-0.162728,6.6
4,-0.783574,-0.190047,8.2
5,-0.825357,-0.217298,9.9
6,-0.837519,-0.209461,11.6
7,-0.844181,-0.218719,13.2
8,-0.865691,-0.236002,14.8
9,-0.853113,-0.233034,16.5
10,-0.844470,-0.243340,18.2
11,-0.869185,-0.238259,19.8
12,-0.873103,-0.248717,21.5
13,-0.865141,-0.246246,23.2
14,-0.862698,-0.244726,24.9
15,-0.868278,-0.247983,26.5
16,-0.880220,-0.250548,28.2
17,-0.875527,-0.252334,30.0
18,-0.880681,-0.252671,31.7
19,-0.875505,-0.254131,33.4
20,-0.890419,-0.252566,35.1
21,-0.885869,-0.257755,36.8
22,-0.894296,-0.255936,38.6
23,-0.887784,-0.258360,40.3
24,-0.884529,-0.254665,42.0
25,-0.917202,-0.255249,43.7
26,-0.901736,-0.251132,45.4
27,-0.899665,-0.262106,47.1
28,-0.886883,-0.261759,48.8
29,-0.894119,-0.261431,50.6
30,-0.905433,-0.259310,52.3
31,-0.904046,-0.265073,54.0
32,-0.901028,-0.267258,55.7
33,-0.907653,-0.270401,57.5
34,-0.892774,-0.266813,59.2
35,-0.904237,-0.269008,60.9
36,-0.903178,-0.268394,62.6
37,-0.905805,-0.263314,64.3
38,-0.906555,-0.271537,66.0
39,-0.896626,-0.269087,67.7
