epoch,train_nll,val_nll,seconds
0,-0.630791,-0.105983,3.1
1,-1.020888,-0.208506,6.1
2,-1.111965,-0.287083,8.4
3,-1.176934,-0.330170,12.1
4,-1.215320,-0.356445,15.9
5,-1.261748,-0.374996,19.7
6,-1.284868,-0.388171,23.7
7,-1.301062,-0.386215,26.8
8,-1.306226,-0.400862,29.9
9,-1.312215,-0.386252,32.0
10,-1.338834,-0.385028,33.8
11,-1.307767,-0.415277,35.6
12,-1.326050,-0.418934,37.3
13,-1.313181,-0.420399,39.1
14,-1.310040,-0.424073,40.9
15,-1.328370,-0.434103,42.9
16,-1.325173,-0.417180,47.1
17,-1.305611,-0.412140,51.1
18,-1.326391,-0.417565,55.4
19,-1.338334,-0.434204,59.6
20,-1.348033,-0.435652,63.7
21,-1.323027,-0.438209,66.1
22,-1.342138,-0.426685,67.9
23,-1.330185,-0.436726,69.7
24,-1.331435,-0.426633,71.5
25,-1.331837,-0.431390,73.3
26,-1.349002,-0.432739,76.0
27,-1.337347,-0.428972,80.1
28,-1.322612,-0.424750,84.1
29,-1.338808,-0.434567,88.1
