start,end,loglik,events
20159.860,20459.860,1251.810992,1445
20459.860,20759.860,351.327045,1025
20759.860,21059.860,56.833793,708
21059.860,21359.860,871.290351,1207
21359.860,21659.860,322.047730,902
21659.860,21959.860,750.226200,1064
21959.860,22259.860,509.454512,848
22259.860,22559.860,571.578874,923
22559.860,22859.860,433.207444,900
22859.860,23159.860,424.161900,1040
23159.860,23459.860,230.859510,914
23459.860,23759.860,155.993914,746
23759.860,24059.860,18.451686,706
24059.860,24359.860,-59.482777,862
24359.860,24479.830,98.176514,370
