start,end,loglik,events
20159.860,20459.860,1254.924199,1445
20459.860,20759.860,349.739294,1025
20759.860,21059.860,56.891633,708
21059.860,21359.860,878.503509,1207
21359.860,21659.860,319.144541,902
21659.860,21959.860,746.416189,1064
21959.860,22259.860,512.891876,848
22259.860,22559.860,577.052246,923
22559.860,22859.860,443.177887,900
22859.860,23159.860,430.913604,1040
23159.860,23459.860,227.683187,914
23459.860,23759.860,151.906139,746
23759.860,24059.860,24.671124,706
24059.860,24359.860,-51.416565,862
24359.860,24479.830,97.963343,370
