epoch,train_nll,val_nll,seconds
0,-0.630550,-0.046048,3.1
1,-1.003513,-0.169059,4.8
2,-1.104865,-0.268571,6.6
3,-1.191129,-0.333214,8.3
4,-1.239736,-0.342258,10.0
5,-1.277457,-0.376788,11.7
6,-1.282263,-0.395062,13.7
7,-1.292487,-0.399504,18.4
8,-1.311375,-0.401187,23.1
9,-1.320319,-0.404014,27.8
10,-1.317747,-0.394806,32.5
11,-1.316553,-0.411788,37.2
12,-1.325966,-0.408452,42.0
13,-1.322637,-0.417172,45.3
14,-1.317168,-0.426446,47.3
15,-1.313012,-0.422485,49.2
16,-1.340402,-0.428999,51.0
17,-1.332535,-0.421009,52.7
18,-1.341843,-0.418632,54.6
19,-1.331089,-0.431990,58.5
20,-1.341656,-0.435010,63.1
21,-1.344549,-0.435975,67.8
22,-1.316512,-0.435031,72.4
23,-1.339211,-0.432181,77.1
24,-1.336817,-0.430675,81.8
25,-1.331829,-0.432957,86.5
26,-1.345308,-0.414229,91.2
27,-1.344495,-0.440737,95.8
28,-1.341759,-0.438465,98.3
29,-1.352057,-0.436049,100.1
30,-1.351677,-0.440054,101.9
31,-1.341715,-0.440346,103.7
32,-1.330369,-0.428300,105.5
33,-1.334891,-0.438618,108.9
34,-1.345427,-0.440739,113.5
35,-1.347626,-0.437409,118.1
