start,end,loglik,events
20159.860,20219.860,-23.300437,150
20219.860,20279.860,298.131270,286
20279.860,20339.860,150.451419,239
20339.860,20399.860,239.891764,322
20399.860,20459.860,589.750184,448
20459.860,20519.860,106.382202,240
20519.860,20579.860,84.779370,219
20579.860,20639.860,10.036391,181
20639.860,20699.860,22.880729,148
20699.860,20759.860,125.660605,237
20759.860,20819.860,137.681443,160
20819.860,20879.860,46.690442,184
20879.860,20939.860,79.769439,211
20939.860,20999.860,-96.705265,93
20999.860,21059.860,-110.544426,60
21059.860,21119.860,92.294302,170
21119.860,21179.860,106.166869,200
21179.860,21239.860,348.071963,332
21239.860,21299.860,257.814891,286
21299.860,21359.860,74.155484,219
21359.860,21419.860,31.401332,190
21419.860,21479.860,64.898842,189
21479.860,21539.860,-7.367847,163
21539.860,21599.860,193.582579,228
21599.860,21659.860,36.629634,132
21659.860,21719.860,119.498435,177
21719.860,21779.860,113.323750,174
21779.860,21839.860,320.002399,314
21839.860,21899.860,69.620392,195
21899.860,21959.860,123.971213,204
21959.860,22019.860,89.213628,147
22019.860,22079.860,269.071581,245
22079.860,22139.860,209.259673,188
22139.860,22199.860,-17.196474,148
22199.860,22259.860,-37.456533,120
22259.860,22319.860,-68.614588,97
22319.860,22379.860,-108.061032,131
22379.860,22439.860,505.128231,291
22439.860,22499.860,202.841304,211
22499.860,22559.860,45.758333,193
22559.860,22619.860,128.907045,156
22619.860,22679.860,-8.359815,163
22679.860,22739.860,219.136661,233
22739.860,22799.860,2.652096,163
22799.860,22859.860,100.841900,185
22859.860,22919.860,121.643884,221
22919.860,22979.860,240.315028,278
22979.860,23039.860,-57.361496,162
23039.860,23099.860,179.548100,247
23099.860,23159.860,-53.231911,132
23159.860,23219.860,2.536142,130
23219.860,23279.860,128.304892,274
23279.860,23339.860,-0.224004,169
23339.860,23399.860,112.552306,202
23399.860,23459.860,-15.486148,139
23459.860,23519.860,-30.348486,119
23519.860,23579.860,-18.254275,125
23579.860,23639.860,78.329846,149
23639.860,23699.860,-45.870264,134
23699.860,23759.860,168.049318,219
23759.860,23819.860,-54.597603,120
23819.860,23879.860,47.794073,147
23879.860,23939.860,49.530348,146
23939.860,23999.860,35.327906,159
23999.860,24059.860,-53.383601,134
24059.860,24119.860,33.724085,176
24119.860,24179.860,47.045895,246
24179.860,24239.860,12.748474,174
24239.860,24299.860,-30.326685,173
24299.860,24359.860,-114.608332,93
24359.860,24419.860,116.948545,237
24419.860,24479.830,-18.985202,133
