start,end,loglik,events
20159.860,20459.860,1329.820269,1445
20459.860,20759.860,392.483252,1025
20759.860,21059.860,65.808975,708
21059.860,21359.860,913.807215,1207
21359.860,21659.860,345.983306,902
21659.860,21959.860,770.383013,1064
21959.860,22259.860,526.936541,848
22259.860,22559.860,576.320195,923
22559.860,22859.860,460.833932,900
22859.860,23159.860,451.405752,1040
23159.860,23459.860,260.133752,914
23459.860,23759.860,175.029791,746
23759.860,24059.860,38.463236,706
24059.860,24359.860,7.312671,862
24359.860,24479.830,110.155962,370
