epoch,train_nll,val_nll,seconds
0,-0.785513,-0.216649,63.3
1,-1.164076,-0.331424,125.5
2,-1.274098,-0.364112,186.0
3,-1.329852,-0.433502,247.5
4,-1.344679,-0.401233,309.2
5,-1.348242,-0.440653,370.4
6,-1.351923,-0.446217,431.7
7,-1.351937,-0.430853,494.7
8,-1.342803,-0.446986,557.5
9,-1.352302,-0.451233,621.5
10,-1.350230,-0.456587,684.9
11,-1.365538,-0.460525,747.6
12,-1.343167,-0.457563,811.5
13,-1.347271,-0.452298,875.5
14,-1.370217,-0.451454,937.2
15,-1.367725,-0.457345,1001.3
16,-1.364317,-0.470342,1062.7
17,-1.373307,-0.460553,1123.9
18,-1.371372,-0.459605,1183.7
19,-1.369036,-0.457918,1245.5
20,-1.368251,-0.459429,1308.6
21,-1.374215,-0.467999,1372.2
22,-1.372920,-0.462758,1436.0
23,-1.377558,-0.448700,1499.1
24,-1.377683,-0.466081,1563.7
