start,end,loglik,events
20159.860,20219.860,-23.678505,150
20219.860,20279.860,300.395872,286
20279.860,20339.860,147.836021,239
20339.860,20399.860,245.355267,322
20399.860,20459.860,589.565439,448
20459.860,20519.860,108.767890,240
20519.860,20579.860,86.040612,219
20579.860,20639.860,12.471073,181
20639.860,20699.860,21.196514,148
20699.860,20759.860,124.838939,237
20759.860,20819.860,129.770512,160
20819.860,20879.860,41.924400,184
20879.860,20939.860,76.594770,211
20939.860,20999.860,-100.877923,93
20999.860,21059.860,-112.370217,60
21059.860,21119.860,94.719761,170
21119.860,21179.860,102.469440,200
21179.860,21239.860,350.683268,332
21239.860,21299.860,257.665317,286
21299.860,21359.860,69.907715,219
21359.860,21419.860,28.311048,190
21419.860,21479.860,65.376567,189
21479.860,21539.860,-13.059971,163
21539.860,21599.860,197.922966,228
21599.860,21659.860,39.030281,132
21659.860,21719.860,119.642850,177
21719.860,21779.860,111.777470,174
21779.860,21839.860,319.354514,314
21839.860,21899.860,67.814224,195
21899.860,21959.860,120.524842,204
21959.860,22019.860,86.425427,147
22019.860,22079.860,262.372379,245
22079.860,22139.860,210.448542,188
22139.860,22199.860,-17.133975,148
22199.860,22259.860,-45.314677,120
22259.860,22319.860,-67.907901,97
22319.860,22379.860,-110.208931,131
22379.860,22439.860,498.884933,291
22439.860,22499.860,198.012299,211
22499.860,22559.860,45.791325,193
22559.860,22619.860,126.035777,156
22619.860,22679.860,-13.290644,163
22679.860,22739.860,215.726372,233
22739.860,22799.860,-0.518118,163
22799.860,22859.860,98.599092,185
22859.860,22919.860,119.303511,221
22919.860,22979.860,242.898259,278
22979.860,23039.860,-59.984617,162
23039.860,23099.860,181.307331,247
23099.860,23159.860,-53.996755,132
23159.860,23219.860,1.758262,130
23219.860,23279.860,134.905860,274
23279.860,23339.860,-1.663067,169
23339.860,23399.860,112.177479,202
23399.860,23459.860,-16.524229,139
23459.860,23519.860,-33.492298,119
23519.860,23579.860,-21.465302,125
23579.860,23639.860,77.537165,149
23639.860,23699.860,-45.944496,134
23699.860,23759.860,170.444628,219
23759.860,23819.860,-55.619700,120
23819.860,23879.860,49.031538,147
23879.860,23939.860,46.343809,146
23939.860,23999.860,33.789281,159
23999.860,24059.860,-57.475904,134
24059.860,24119.860,31.587796,176
24119.860,24179.860,40.966998,246
24179.860,24239.860,12.087237,174
24239.860,24299.860,-26.532253,173
24299.860,24359.860,-112.446048,93
24359.860,24419.860,108.122598,237
24419.860,24479.830,-19.112707,133
