start,end,loglik,events
20159.860,20459.860,1259.474094,1445
20459.860,20759.860,353.315028,1025
20759.860,21059.860,35.041542,708
21059.860,21359.860,875.445501,1207
21359.860,21659.860,317.580892,902
21659.860,21959.860,739.113900,1064
21959.860,22259.860,496.797696,848
22259.860,22559.860,564.571725,923
22559.860,22859.860,426.552480,900
22859.860,23159.860,429.527730,1040
23159.860,23459.860,230.654305,914
23459.860,23759.860,147.079696,746
23759.860,24059.860,16.069024,706
24059.860,24359.860,-54.336270,862
24359.860,24479.830,89.009893,370
