epoch,train_nll,val_nll,seconds
0,0.314611,0.445527,29.7
1,-0.160426,0.280334,64.7
2,-0.319973,0.210841,90.7
3,-0.415652,0.126619,116.5
4,-0.486997,0.076201,148.1
5,-0.537109,0.066746,181.6
6,-0.563263,0.043015,207.9
7,-0.582208,0.042798,234.4
8,-0.597213,0.028568,268.4
9,-0.613854,0.008157,300.5
10,-0.626152,0.008348,327.0
11,-0.634578,0.002699,353.8
12,-0.637261,0.001472,390.5
13,-0.640272,-0.006529,421.1
14,-0.644899,-0.003557,448.2
15,-0.648799,0.005487,477.8
16,-0.650146,-0.003745,515.5
17,-0.655577,-0.000286,543.7
18,-0.658564,0.005740,571.4
19,-0.660300,0.005725,604.3
20,-0.663779,0.000436,642.5
21,-0.666036,0.002272,670.4
