start,end,loglik,events
21419.518,21479.518,-46.628501,96
21479.518,21539.518,-102.658073,67
21539.518,21599.518,116.046591,175
21599.518,21659.518,80.595584,180
21659.518,21719.518,69.150130,204
21719.518,21779.518,38.621129,165
21779.518,21839.518,205.351859,248
21839.518,21899.518,415.244721,300
21899.518,21959.518,20.295329,160
21959.518,22019.518,198.875580,219
22019.518,22079.518,186.879938,242
22079.518,22139.518,82.632715,193
22139.518,22199.518,-80.162147,113
22199.518,22259.518,371.915435,266
22259.518,22319.518,426.086875,345
22319.518,22379.518,69.228058,170
22379.518,22439.518,-53.370398,134
22439.518,22499.518,-0.085944,133
22499.518,22559.518,-37.735547,122
22559.518,22619.518,248.972754,223
22619.518,22679.518,-116.507975,104
22679.518,22739.518,-121.996682,112
22739.518,22799.518,40.655250,140
22799.518,22859.518,-41.083988,132
22859.518,22919.518,-80.393298,106
22919.518,22979.518,-72.045785,127
22979.518,23039.518,-76.138544,113
23039.518,23099.518,-110.869703,68
23099.518,23159.518,-75.707030,92
23159.518,23219.518,-50.998917,107
23219.518,23279.518,-13.732879,112
23279.518,23339.518,-74.101154,133
23339.518,23399.518,130.010172,192
23399.518,23459.518,31.042508,166
23459.518,23519.518,456.034607,381
23519.518,23579.518,316.543302,336
23579.518,23639.518,53.233707,170
23639.518,23699.518,-69.785610,102
23699.518,23759.518,-70.062531,156
23759.518,23819.518,-3.577423,172
23819.518,23879.518,14.001191,187
23879.518,23939.518,116.835763,197
23939.518,23999.518,-100.827082,114
23999.518,24059.518,-45.854495,162
24059.518,24119.518,244.096076,296
24119.518,24179.518,452.118083,376
24179.518,24239.518,215.402022,239
24239.518,24299.518,-19.092204,152
24299.518,24359.518,181.435400,248
24359.518,24419.518,24.894784,186
24419.518,24479.518,2.447032,177
24479.518,24539.518,-82.771420,136
24539.518,24599.518,187.168412,207
24599.518,24659.518,68.005564,163
24659.518,24719.518,-42.877994,135
24719.518,24779.518,-69.994974,116
24779.518,24839.518,-80.975293,164
24839.518,24899.518,-26.006926,155
24899.518,24959.518,-33.764966,179
24959.518,25019.518,-111.380372,98
25019.518,25079.518,-98.222283,118
25079.518,25139.518,-122.416872,84
25139.518,25199.518,87.719702,156
25199.518,25259.518,2.617950,216
25259.518,25319.518,247.278399,264
25319.518,25379.518,-61.766882,191
25379.518,25439.518,16.944543,215
25439.518,25499.518,87.965881,190
25499.518,25559.518,136.567138,243
25559.518,25619.518,-12.764888,213
25619.518,25679.518,26.262878,178
25679.518,25739.518,135.602695,253
25739.518,25799.518,142.839739,204
25799.518,25859.518,-68.962697,143
25859.518,25919.518,73.871660,227
25919.518,25979.518,-45.615158,143
25979.518,26009.414,-43.743323,75
