epoch,train_nll,val_nll,seconds
0,-0.170030,0.051701,1.6
1,-0.577548,-0.059396,3.3
2,-0.678725,-0.121895,4.9
3,-0.749946,-0.175616,6.4
4,-0.777938,-0.169500,8.1
5,-0.817589,-0.222932,9.8
6,-0.839381,-0.218884,11.5
7,-0.848650,-0.241189,13.2
8,-0.863662,-0.235035,14.9
9,-0.867274,-0.247802,16.6
10,-0.854288,-0.239136,18.3
11,-0.856072,-0.244254,19.9
12,-0.876473,-0.252035,21.6
13,-0.870729,-0.249837,23.3
14,-0.883656,-0.249881,25.1
15,-0.881611,-0.255621,26.8
16,-0.870054,-0.255735,28.5
17,-0.878343,-0.255040,30.2
18,-0.878370,-0.247978,32.0
19,-0.886237,-0.261416,33.8
20,-0.888871,-0.245194,35.5
21,-0.894349,-0.264231,37.2
22,-0.884286,-0.257793,38.9
23,-0.891126,-0.262303,40.6
24,-0.893767,-0.257310,42.3
25,-0.904563,-0.261098,44.0
26,-0.884876,-0.257511,45.7
27,-0.906695,-0.262036,47.5
28,-0.894300,-0.268586,49.2
29,-0.882234,-0.263049,50.9
30,-0.895100,-0.264930,52.6
31,-0.899390,-0.263506,54.4
32,-0.899774,-0.263424,56.1
33,-0.902655,-0.265052,57.8
34,-0.894092,-0.261247,59.5
35,-0.893547,-0.269359,61.2
36,-0.892858,-0.264039,62.9
37,-0.899945,-0.262304,64.6
38,-0.908358,-0.262157,66.2
39,-0.907192,-0.267032,67.9
