epoch,train_nll,val_nll,seconds
0,-0.301349,-0.063384,63.7
1,-0.720586,-0.182609,128.4
2,-0.834560,-0.223363,193.6
3,-0.888611,-0.249543,258.5
4,-0.883200,-0.256868,321.0
5,-0.902952,-0.278263,384.1
6,-0.913302,-0.264231,448.1
7,-0.917048,-0.276416,511.9
8,-0.928227,-0.278836,577.8
9,-0.926531,-0.283475,640.4
10,-0.915241,-0.271386,705.9
11,-0.910278,-0.278262,769.1
12,-0.931728,-0.282164,832.4
13,-0.926420,-0.285044,894.8
14,-0.939045,-0.271828,963.4
15,-0.937053,-0.284169,1026.7
16,-0.927208,-0.287511,1092.5
17,-0.934798,-0.284820,1158.7
18,-0.934044,-0.267885,1225.8
19,-0.936873,-0.289110,1291.9
20,-0.945194,-0.276372,1358.0
21,-0.950537,-0.284718,1426.7
22,-0.941725,-0.280271,1495.0
23,-0.945472,-0.293795,1567.0
24,-0.946822,-0.286136,1638.5
25,-0.960098,-0.290092,1708.7
26,-0.945028,-0.278238,1777.9
27,-0.962160,-0.277899,1845.7
28,-0.947942,-0.292135,1914.0
29,-0.941946,-0.291746,1980.7
30,-0.952640,-0.284478,2050.3
31,-0.958901,-0.279043,2119.7
