epoch,train_nll,val_nll,seconds
0,-0.260834,-0.067596,89.6
1,-0.715884,-0.190079,152.7
2,-0.835798,-0.231802,215.6
3,-0.861087,-0.255944,278.5
4,-0.891027,-0.252609,340.2
5,-0.910266,-0.266469,401.5
6,-0.910790,-0.278956,463.4
7,-0.914732,-0.263799,527.1
8,-0.928425,-0.281887,591.4
9,-0.915234,-0.277058,656.2
10,-0.902721,-0.285531,718.6
11,-0.929373,-0.265334,780.9
12,-0.932995,-0.286710,845.7
13,-0.929872,-0.282636,911.4
14,-0.924944,-0.286807,974.7
15,-0.927823,-0.284324,1038.1
16,-0.944949,-0.291975,1101.3
17,-0.939028,-0.283437,1165.2
18,-0.941509,-0.283639,1229.4
19,-0.936024,-0.285080,1293.2
20,-0.951526,-0.285939,1357.9
21,-0.947710,-0.286947,1423.2
22,-0.952370,-0.287373,1489.4
23,-0.947193,-0.294274,1556.2
24,-0.944395,-0.284415,1625.1
25,-0.976537,-0.289212,1692.9
26,-0.960525,-0.286542,1760.0
27,-0.957891,-0.291967,1828.4
28,-0.942795,-0.288538,1896.9
29,-0.950441,-0.293218,1967.7
30,-0.962692,-0.292210,2038.6
31,-0.962229,-0.293930,2116.7
