start,end,loglik,events
20159.860,20459.860,1304.105991,1445
20459.860,20759.860,387.907067,1025
20759.860,21059.860,60.633957,708
21059.860,21359.860,922.083768,1207
21359.860,21659.860,339.101324,902
21659.860,21959.860,764.767957,1064
21959.860,22259.860,533.805739,848
22259.860,22559.860,577.395238,923
22559.860,22859.860,449.141887,900
22859.860,23159.860,446.815879,1040
23159.860,23459.860,256.651769,914
23459.860,23759.860,171.436751,746
23759.860,24059.860,35.669498,706
24059.860,24359.860,-13.807814,862
24359.860,24479.830,111.891547,370
