epoch,train_nll,val_nll,seconds
0,-0.767687,-0.239879,60.5
1,-1.190982,-0.334163,122.5
2,-1.271169,-0.382946,183.7
3,-1.313433,-0.400058,246.2
4,-1.321203,-0.423032,307.3
5,-1.345466,-0.422924,370.5
6,-1.356403,-0.448068,433.9
7,-1.368978,-0.432376,494.9
8,-1.369249,-0.443139,556.5
9,-1.367397,-0.450548,617.1
10,-1.392635,-0.453418,677.3
11,-1.357858,-0.454217,738.6
12,-1.375388,-0.452973,799.3
13,-1.357467,-0.464685,859.9
14,-1.353984,-0.460531,920.9
15,-1.373756,-0.460224,982.3
16,-1.367445,-0.451818,1043.9
17,-1.349735,-0.457626,1105.6
18,-1.368240,-0.464749,1167.2
19,-1.381363,-0.461462,1228.8
20,-1.392391,-0.461588,1290.1
21,-1.363636,-0.460318,1352.2
