start,end,loglik,events
5038.046,5098.046,-81.102719,142
5098.046,5158.046,-45.307581,115
5158.046,5218.046,47.570510,170
5218.046,5278.046,23.316224,125
5278.046,5338.046,-54.818462,137
5338.046,5398.046,-21.255920,123
5398.046,5458.046,88.562737,163
5458.046,5518.046,135.062623,166
5518.046,5578.046,126.671504,186
5578.046,5638.046,-25.981703,115
5638.046,5698.046,-85.986797,97
5698.046,5758.046,-53.393070,102
5758.046,5818.046,-39.737748,120
5818.046,5878.046,17.644056,132
5878.046,5938.046,-110.165720,105
5938.046,5998.046,134.041655,203
5998.046,6058.046,-70.605438,144
6058.046,6117.627,53.162280,171
