epoch,train_nll,val_nll,seconds
0,0.397093,0.491796,1.8
1,-0.096811,0.338529,3.6
2,-0.254178,0.264205,5.5
3,-0.325846,0.205007,7.4
4,-0.370361,0.204614,9.2
5,-0.404736,0.156918,11.1
6,-0.432778,0.147997,12.9
7,-0.459605,0.113806,14.6
8,-0.484517,0.111339,16.6
9,-0.505661,0.096129,18.5
10,-0.520675,0.059246,20.5
11,-0.539101,0.069835,22.4
12,-0.554578,0.044335,24.3
13,-0.567670,0.039075,26.2
14,-0.577462,0.022755,28.0
15,-0.586644,0.017717,29.9
16,-0.590262,0.008560,31.9
17,-0.595477,0.014767,33.5
18,-0.600542,0.020668,34.6
19,-0.603158,0.018006,35.8
20,-0.604684,0.022964,37.0
21,-0.609435,0.013230,38.3
22,-0.610166,0.006086,39.4
23,-0.612694,0.019231,40.7
24,-0.615397,0.007725,41.9
25,-0.617555,0.003894,43.1
26,-0.617413,0.005517,44.2
27,-0.620605,0.002014,45.4
28,-0.621960,-0.005671,48.0
29,-0.623566,0.003084,49.2
30,-0.624719,0.012256,50.3
31,-0.625313,-0.005901,51.5
32,-0.627986,-0.005273,52.7
33,-0.625535,0.000191,53.9
34,-0.627513,-0.005117,55.0
35,-0.628981,-0.014975,56.2
36,-0.630199,-0.002472,57.2
37,-0.633421,-0.005919,58.5
38,-0.632578,-0.000006,59.6
39,-0.633649,-0.011968,60.7
