start,end,loglik,events
20159.860,20459.860,1270.409515,1445
20459.860,20759.860,369.406027,1025
20759.860,21059.860,58.813486,708
21059.860,21359.860,891.745001,1207
21359.860,21659.860,324.189867,902
21659.860,21959.860,763.403597,1064
21959.860,22259.860,492.933901,848
22259.860,22559.860,533.997302,923
22559.860,22859.860,439.729212,900
22859.860,23159.860,427.902168,1040
23159.860,23459.860,237.175180,914
23459.860,23759.860,162.402522,746
23759.860,24059.860,8.538081,706
24059.860,24359.860,-13.598624,862
24359.860,24479.830,91.282662,370
