start,end,loglik,events
20159.860,20219.860,-20.869866,150
20219.860,20279.860,304.527649,286
20279.860,20339.860,145.486221,239
20339.860,20399.860,250.397535,322
20399.860,20459.860,590.867976,448
20459.860,20519.860,119.584973,240
20519.860,20579.860,79.862734,219
20579.860,20639.860,13.399348,181
20639.860,20699.860,23.899352,148
20699.860,20759.860,132.659620,237
20759.860,20819.860,146.343834,160
20819.860,20879.860,48.508153,184
20879.860,20939.860,83.289615,211
20939.860,20999.860,-102.002950,93
20999.860,21059.860,-117.325166,60
21059.860,21119.860,98.551067,170
21119.860,21179.860,103.533694,200
21179.860,21239.860,351.582106,332
21239.860,21299.860,262.889687,286
21299.860,21359.860,75.188446,219
21359.860,21419.860,23.783115,190
21419.860,21479.860,68.305372,189
21479.860,21539.860,-10.335276,163
21539.860,21599.860,197.829550,228
21599.860,21659.860,44.607105,132
21659.860,21719.860,123.840637,177
21719.860,21779.860,114.107106,174
21779.860,21839.860,330.532895,314
21839.860,21899.860,66.894000,195
21899.860,21959.860,128.028959,204
21959.860,22019.860,89.785822,147
22019.860,22079.860,263.905279,245
22079.860,22139.860,202.306496,188
22139.860,22199.860,-22.247169,148
22199.860,22259.860,-40.816528,120
22259.860,22319.860,-68.466643,97
22319.860,22379.860,-117.987306,131
22379.860,22439.860,493.058465,291
22439.860,22499.860,182.551659,211
22499.860,22559.860,44.841127,193
22559.860,22619.860,126.599069,156
22619.860,22679.860,-4.491832,163
22679.860,22739.860,219.725325,233
22739.860,22799.860,-5.708401,163
22799.860,22859.860,103.605052,185
22859.860,22919.860,120.787787,221
22919.860,22979.860,240.340635,278
22979.860,23039.860,-56.189730,162
23039.860,23099.860,179.295540,247
23099.860,23159.860,-56.332065,132
23159.860,23219.860,6.677020,130
23219.860,23279.860,133.340575,274
23279.860,23339.860,0.956593,169
23339.860,23399.860,112.334788,202
23399.860,23459.860,-16.133796,139
23459.860,23519.860,-31.827547,119
23519.860,23579.860,-22.114880,125
23579.860,23639.860,80.228950,149
23639.860,23699.860,-41.575998,134
23699.860,23759.860,177.691997,219
23759.860,23819.860,-51.487257,120
23819.860,23879.860,44.638933,147
23879.860,23939.860,40.731413,146
23939.860,23999.860,34.929514,159
23999.860,24059.860,-60.274521,134
24059.860,24119.860,31.078355,176
24119.860,24179.860,78.140534,246
24179.860,24239.860,19.152269,174
24239.860,24299.860,-29.613595,173
24299.860,24359.860,-112.356188,93
24359.860,24419.860,113.713536,237
24419.860,24479.830,-22.430874,133
