start,end,loglik,events
20159.860,20459.860,1335.902717,1445
20459.860,20759.860,393.540652,1025
20759.860,21059.860,58.665581,708
21059.860,21359.860,928.914204,1207
21359.860,21659.860,335.707027,902
21659.860,21959.860,765.184812,1064
21959.860,22259.860,539.152638,848
22259.860,22559.860,577.377419,923
22559.860,22859.860,460.404434,900
22859.860,23159.860,465.337442,1040
23159.860,23459.860,259.332188,914
23459.860,23759.860,166.148517,746
23759.860,24059.860,38.794105,706
24059.860,24359.860,5.578779,862
24359.860,24479.830,116.875813,370
