epoch,train_nll,val_nll,seconds
0,-0.717988,-0.165219,102.0
1,-1.146884,-0.319195,188.9
2,-1.271328,-0.387977,276.9
3,-1.311279,-0.408302,371.7
4,-1.344778,-0.404651,484.0
5,-1.326178,-0.433943,595.7
6,-1.353137,-0.435771,709.2
7,-1.355159,-0.448897,825.2
8,-1.359846,-0.442905,943.4
9,-1.371451,-0.455121,1054.6
10,-1.371145,-0.453272,1160.3
11,-1.369034,-0.445721,1277.7
12,-1.363809,-0.452583,1394.9
13,-1.355017,-0.449179,1514.5
14,-1.371627,-0.459818,1634.5
15,-1.353045,-0.464771,1757.7
16,-1.362964,-0.463515,1863.1
17,-1.381707,-0.462286,1982.4
18,-1.366414,-0.458215,2105.1
19,-1.371865,-0.462189,2229.2
20,-1.387214,-0.467012,2356.1
21,-1.393057,-0.461033,2482.9
22,-1.383847,-0.468126,2613.9
23,-1.361530,-0.453869,2723.4
24,-1.379124,-0.461997,2842.6
25,-1.370573,-0.464368,2966.9
26,-1.369188,-0.462686,3097.3
27,-1.370668,-0.462973,3229.7
28,-1.364625,-0.470470,3362.3
29,-1.385833,-0.470558,3487.1
30,-1.405630,-0.468293,3602.0
31,-1.380496,-0.465622,3729.9
32,-1.378741,-0.463242,3859.2
33,-1.377092,-0.471956,3989.5
34,-1.378955,-0.464213,4121.2
35,-1.381608,-0.463877,4254.9
36,-1.395837,-0.470279,4369.8
37,-1.378968,-0.462608,4459.3
38,-1.386899,-0.466837,4569.8
39,-1.397056,-0.459018,4676.6
