start,end,loglik,events
5038.046,5098.046,-79.192762,142
5098.046,5158.046,-50.981385,115
5158.046,5218.046,46.928567,170
5218.046,5278.046,18.794029,125
5278.046,5338.046,-51.116418,137
5338.046,5398.046,-18.697618,123
5398.046,5458.046,85.637192,163
5458.046,5518.046,136.394228,166
5518.046,5578.046,126.395667,186
5578.046,5638.046,-29.667335,115
5638.046,5698.046,-92.802669,97
5698.046,5758.046,-47.493265,102
5758.046,5818.046,-40.079856,120
5818.046,5878.046,19.991991,132
5878.046,5938.046,-108.644783,105
5938.046,5998.046,132.328042,203
5998.046,6058.046,-66.144701,144
6058.046,6117.627,47.086839,171
