epoch,train_nll,val_nll,seconds
0,0.256506,0.425015,34.0
1,-0.213670,0.241848,61.2
2,-0.376024,0.172842,88.1
3,-0.462846,0.093214,127.3
4,-0.514395,0.072591,160.4
5,-0.552277,0.045628,187.4
6,-0.579423,0.040151,215.0
7,-0.600263,0.009017,257.1
8,-0.615743,0.019226,291.2
9,-0.626346,0.001274,319.8
10,-0.631904,-0.000003,352.5
11,-0.643706,-0.002895,395.5
12,-0.646426,-0.015081,427.0
13,-0.650290,0.004905,456.8
14,-0.652199,0.007469,491.4
15,-0.654494,-0.015131,534.4
16,-0.658156,0.000489,563.9
17,-0.661312,0.006030,593.3
18,-0.661261,0.019540,630.5
19,-0.662769,0.014549,673.7
20,-0.666893,0.009755,705.0
