epoch,train_nll,val_nll,seconds
0,-0.213984,-0.026043,63.7
1,-0.699814,-0.172845,125.6
2,-0.818132,-0.230182,189.0
3,-0.881602,-0.240222,251.6
4,-0.885021,-0.260816,312.4
5,-0.902567,-0.263638,374.6
6,-0.906113,-0.274478,436.0
7,-0.927321,-0.273796,501.0
8,-0.930769,-0.279113,561.6
9,-0.907623,-0.274486,625.0
10,-0.935428,-0.285470,686.0
11,-0.931564,-0.282200,745.6
12,-0.927640,-0.281042,807.0
13,-0.930962,-0.287084,869.0
14,-0.918513,-0.289644,930.7
15,-0.925941,-0.288641,994.3
16,-0.933007,-0.284202,1056.1
17,-0.939883,-0.291375,1119.3
18,-0.949178,-0.289764,1183.9
19,-0.955614,-0.292695,1248.0
20,-0.954027,-0.291107,1315.0
21,-0.946473,-0.291391,1382.3
22,-0.942267,-0.290883,1450.2
23,-0.940429,-0.288253,1518.2
24,-0.955446,-0.278033,1586.2
25,-0.960728,-0.277688,1654.8
26,-0.940850,-0.294696,1725.2
27,-0.951912,-0.290283,1796.8
28,-0.960463,-0.287828,1871.0
29,-0.955026,-0.288742,1941.9
30,-0.953337,-0.287355,2013.7
31,-0.959724,-0.296194,2086.2
32,-0.959515,-0.293285,2158.3
33,-0.986831,-0.291956,2230.0
34,-0.946823,-0.293489,2300.2
35,-0.957905,-0.288611,2371.0
36,-0.959473,-0.286192,2442.4
37,-0.966725,-0.290017,2512.9
38,-0.965095,-0.285088,2584.5
39,-0.975613,-0.284537,2653.5
