epoch,train_nll,val_nll,seconds
0,0.361585,0.494531,34.1
1,-0.169419,0.264491,61.0
2,-0.354962,0.174677,88.2
3,-0.453580,0.101198,127.4
4,-0.516134,0.095258,160.0
5,-0.548876,0.054750,186.5
6,-0.567062,0.060857,213.1
7,-0.588852,0.031163,252.6
8,-0.602509,0.028261,283.7
9,-0.616723,0.030229,310.7
10,-0.627379,0.008241,337.8
11,-0.636169,0.002754,377.2
12,-0.640970,0.002695,408.9
13,-0.648484,0.003022,436.6
14,-0.651627,-0.006858,464.9
15,-0.658295,-0.001833,505.7
16,-0.663768,-0.004528,538.0
17,-0.665143,-0.000065,565.5
18,-0.670943,0.009063,594.8
19,-0.674760,0.010213,635.8
20,-0.675710,-0.003072,667.5
21,-0.680966,0.007332,696.0
22,-0.682970,0.007540,728.1
