start,end,loglik,events
5038.046,5098.046,-76.839071,142
5098.046,5158.046,-48.759541,115
5158.046,5218.046,44.529196,170
5218.046,5278.046,20.151909,125
5278.046,5338.046,-51.353047,137
5338.046,5398.046,-19.378831,123
5398.046,5458.046,83.422858,163
5458.046,5518.046,133.315436,166
5518.046,5578.046,123.121677,186
5578.046,5638.046,-27.467226,115
5638.046,5698.046,-91.210509,97
5698.046,5758.046,-53.024928,102
5758.046,5818.046,-40.228365,120
5818.046,5878.046,18.811599,132
5878.046,5938.046,-112.010568,105
5938.046,5998.046,133.582529,203
5998.046,6058.046,-67.174242,144
6058.046,6117.627,47.766368,171
