epoch,train_nll,val_nll,seconds
0,-0.657614,-0.101452,3.1
1,-1.009694,-0.181129,5.7
2,-1.105524,-0.267383,8.7
3,-1.167180,-0.308383,11.9
4,-1.234663,-0.331800,14.3
5,-1.240948,-0.378351,17.2
6,-1.278727,-0.380569,20.3
7,-1.293047,-0.388131,22.7
8,-1.298819,-0.390387,25.8
9,-1.313790,-0.407565,28.8
10,-1.318597,-0.406666,31.3
11,-1.318831,-0.408495,34.5
12,-1.315077,-0.417613,37.7
13,-1.305831,-0.415129,40.1
14,-1.323873,-0.408714,44.0
15,-1.305901,-0.424476,47.8
16,-1.315851,-0.427758,51.7
17,-1.339175,-0.422375,55.7
18,-1.319824,-0.422386,59.3
19,-1.329105,-0.426499,62.4
20,-1.345984,-0.434696,65.5
21,-1.350648,-0.422847,67.7
22,-1.338255,-0.435940,71.7
23,-1.317963,-0.432760,75.5
24,-1.337274,-0.432376,79.4
25,-1.329361,-0.431164,83.3
26,-1.327048,-0.433112,86.7
27,-1.330177,-0.428435,89.8
28,-1.321790,-0.434301,92.3
29,-1.341098,-0.436753,96.0
30,-1.365124,-0.436384,99.9
31,-1.338193,-0.430857,104.0
32,-1.335713,-0.433839,107.9
33,-1.334521,-0.444755,111.4
34,-1.336629,-0.441537,114.5
35,-1.340112,-0.438362,117.6
36,-1.354423,-0.442308,120.3
37,-1.335850,-0.436220,124.2
38,-1.344168,-0.435116,128.0
39,-1.353423,-0.431468,131.9
