epoch,train_nll,val_nll,seconds
0,-0.157251,0.088873,1.6
1,-0.605080,-0.090056,3.3
2,-0.704836,-0.164801,4.9
3,-0.782305,-0.188543,6.5
4,-0.815469,-0.213400,8.1
5,-0.834846,-0.222605,9.8
6,-0.858118,-0.213443,11.5
7,-0.845425,-0.233455,13.2
8,-0.844502,-0.249602,14.8
9,-0.868401,-0.239627,16.5
10,-0.852566,-0.252465,18.1
11,-0.881902,-0.250518,19.8
12,-0.889997,-0.236596,21.5
13,-0.890314,-0.252150,23.2
14,-0.891518,-0.259282,24.8
15,-0.894194,-0.256027,26.4
16,-0.885313,-0.261148,28.1
17,-0.887390,-0.260784,29.8
18,-0.901105,-0.260955,31.4
19,-0.904361,-0.254070,33.1
20,-0.887446,-0.260538,34.8
21,-0.889048,-0.260347,36.4
22,-0.910807,-0.263634,38.0
23,-0.887503,-0.262277,39.6
24,-0.897936,-0.259107,41.3
25,-0.893056,-0.268454,42.9
26,-0.909548,-0.267944,44.7
27,-0.917150,-0.267390,46.4
28,-0.919327,-0.265277,48.0
29,-0.904138,-0.268974,49.7
30,-0.897487,-0.262987,51.4
31,-0.908414,-0.268806,53.1
32,-0.909279,-0.268729,54.7
33,-0.904653,-0.271635,56.4
34,-0.935314,-0.267983,58.2
35,-0.891276,-0.271337,59.9
36,-0.894352,-0.269446,61.6
37,-0.904030,-0.262259,63.2
38,-0.915697,-0.267689,64.9
39,-0.917770,-0.269929,66.6
